cameraID,imageName,objectID
c004,000001.jpg,635
c004,000002.jpg,512
c004,000003.jpg,520
c004,000004.jpg,492
c004,000005.jpg,576
c004,000006.jpg,480
c004,000007.jpg,592
c004,000008.jpg,549
c004,000009.jpg,575
c004,000010.jpg,509
c004,000011.jpg,579
c004,000012.jpg,625
c004,000013.jpg,625
c004,000014.jpg,668
c004,000015.jpg,663
c004,000016.jpg,574
c004,000017.jpg,668
c004,000018.jpg,494
c004,000019.jpg,534
c004,000020.jpg,491
c004,000021.jpg,655
c004,000022.jpg,518
c004,000023.jpg,670
c004,000024.jpg,551
c004,000025.jpg,551
c004,000026.jpg,576
c004,000027.jpg,688
c004,000028.jpg,569
c004,000029.jpg,484
c004,000030.jpg,522
c004,000031.jpg,545
c004,000032.jpg,599
c004,000033.jpg,590
c004,000034.jpg,493
c004,000035.jpg,480
c004,000036.jpg,510
c004,000037.jpg,522
c004,000038.jpg,508
c004,000039.jpg,679
c004,000040.jpg,489
c004,000041.jpg,501
c004,000042.jpg,543
c004,000043.jpg,636
c004,000044.jpg,598
c004,000045.jpg,671
c004,000046.jpg,657
c004,000047.jpg,524
c004,000048.jpg,635
c004,000049.jpg,661
c004,000050.jpg,488
c004,000051.jpg,508
c004,000052.jpg,657
c004,000053.jpg,482
c004,000054.jpg,634
c004,000055.jpg,569
c004,000056.jpg,509
c004,000057.jpg,674
c004,000058.jpg,492
c004,000059.jpg,668
c004,000060.jpg,480
c004,000061.jpg,687
c004,000062.jpg,600
c004,000063.jpg,568
c004,000064.jpg,601
c004,000065.jpg,508
c004,000066.jpg,656
c004,000067.jpg,573
c004,000068.jpg,650
c004,000069.jpg,526
c004,000070.jpg,634
c004,000071.jpg,492
c004,000072.jpg,482
c004,000073.jpg,486
c004,000074.jpg,647
c004,000075.jpg,619
c004,000076.jpg,501
c004,000077.jpg,593
c004,000078.jpg,635
c004,000079.jpg,558
c004,000080.jpg,534
c004,000081.jpg,549
c004,000082.jpg,648
c004,000083.jpg,508
c004,000084.jpg,660
c004,000085.jpg,620
c004,000086.jpg,529
c004,000087.jpg,659
c004,000088.jpg,564
c004,000089.jpg,559
c004,000090.jpg,510
c004,000091.jpg,481
c004,000092.jpg,571
c004,000093.jpg,482
c004,000094.jpg,550
c004,000095.jpg,494
c004,000096.jpg,492
c004,000097.jpg,489
c004,000098.jpg,663
c004,000099.jpg,588
c004,000100.jpg,574
c004,000101.jpg,593
c004,000102.jpg,660
c004,000103.jpg,638
c004,000104.jpg,588
c004,000105.jpg,601
c004,000106.jpg,560
c004,000107.jpg,576
c004,000108.jpg,688
c004,000109.jpg,612
c004,000110.jpg,624
c004,000111.jpg,527
c004,000112.jpg,508
c004,000113.jpg,512
c004,000114.jpg,661
c004,000115.jpg,588
c004,000116.jpg,612
c004,000117.jpg,556
c004,000118.jpg,586
c004,000119.jpg,535
c004,000120.jpg,526
c004,000121.jpg,512
c004,000122.jpg,664
c004,000123.jpg,526
c004,000124.jpg,568
c004,000125.jpg,576
c004,000126.jpg,579
c004,000127.jpg,600
c004,000128.jpg,659
c004,000129.jpg,491
c004,000130.jpg,661
c004,000131.jpg,558
c004,000132.jpg,573
c004,000133.jpg,652
c004,000134.jpg,601
c004,000135.jpg,526
c004,000136.jpg,624
c004,000137.jpg,657
c004,000138.jpg,556
c004,000139.jpg,599
c004,000140.jpg,508
c004,000141.jpg,525
c004,000142.jpg,639
c004,000143.jpg,645
c004,000144.jpg,630
c004,000145.jpg,555
c004,000146.jpg,668
c004,000147.jpg,646
c004,000148.jpg,645
c004,000149.jpg,569
c004,000150.jpg,626
c004,000151.jpg,510
c004,000152.jpg,606
c004,000153.jpg,524
c004,000154.jpg,669
c004,000155.jpg,480
c004,000156.jpg,508
c004,000157.jpg,510
c004,000158.jpg,599
c004,000159.jpg,612
c004,000160.jpg,526
c004,000161.jpg,613
c004,000162.jpg,630
c004,000163.jpg,564
c004,000164.jpg,626
c004,000165.jpg,542
c004,000166.jpg,516
c004,000167.jpg,671
c004,000168.jpg,615
c004,000169.jpg,596
c004,000170.jpg,510
c004,000171.jpg,550
c004,000172.jpg,509
c004,000173.jpg,484
c004,000174.jpg,654
c004,000175.jpg,605
c004,000176.jpg,489
c004,000177.jpg,681
c004,000178.jpg,601
c004,000179.jpg,558
c004,000180.jpg,520
c004,000181.jpg,555
c004,000182.jpg,631
c004,000183.jpg,508
c004,000184.jpg,537
c004,000185.jpg,526
c004,000186.jpg,660
c004,000187.jpg,501
c004,000188.jpg,569
c004,000189.jpg,574
c004,000190.jpg,501
c004,000191.jpg,508
c004,000192.jpg,636
c004,000193.jpg,646
c004,000194.jpg,612
c004,000195.jpg,605
c004,000196.jpg,637
c004,000197.jpg,576
c004,000198.jpg,625
c004,000199.jpg,630
c004,000200.jpg,558
c004,000201.jpg,675
c004,000202.jpg,491
c004,000203.jpg,535
c004,000204.jpg,537
c004,000205.jpg,483
c004,000206.jpg,659
c004,000207.jpg,480
c004,000208.jpg,660
c004,000209.jpg,668
c004,000210.jpg,592
c004,000211.jpg,485
c004,000212.jpg,691
c004,000213.jpg,510
c004,000214.jpg,499
c004,000215.jpg,537
c004,000216.jpg,512
c004,000217.jpg,671
c004,000218.jpg,588
c004,000219.jpg,526
c004,000220.jpg,620
c004,000221.jpg,498
c004,000222.jpg,484
c004,000223.jpg,487
c004,000224.jpg,668
c004,000225.jpg,642
c004,000226.jpg,608
c004,000227.jpg,684
c004,000228.jpg,567
c004,000229.jpg,609
c004,000230.jpg,520
c004,000231.jpg,496
c004,000232.jpg,579
c004,000233.jpg,595
c004,000234.jpg,500
c004,000235.jpg,549
c004,000236.jpg,571
c004,000237.jpg,686
c004,000238.jpg,688
c004,000239.jpg,480
c004,000240.jpg,570
c004,000241.jpg,594
c004,000242.jpg,619
c004,000243.jpg,663
c004,000244.jpg,569
c004,000245.jpg,621
c004,000246.jpg,609
c004,000247.jpg,480
c004,000248.jpg,600
c004,000249.jpg,657
c004,000250.jpg,663
c004,000251.jpg,590
c004,000252.jpg,591
c004,000253.jpg,545
c004,000254.jpg,545
c004,000255.jpg,482
c004,000256.jpg,541
c004,000257.jpg,489
c004,000258.jpg,600
c004,000259.jpg,499
c004,000260.jpg,508
c004,000261.jpg,542
c004,000262.jpg,548
c004,000263.jpg,646
c004,000264.jpg,571
c004,000265.jpg,508
c004,000266.jpg,508
c004,000267.jpg,508
c004,000268.jpg,578
c004,000269.jpg,487
c004,000270.jpg,636
c004,000271.jpg,549
c004,000272.jpg,648
c004,000273.jpg,508
c004,000274.jpg,655
c004,000275.jpg,482
c004,000276.jpg,538
c004,000277.jpg,634
c004,000278.jpg,543
c004,000279.jpg,596
c004,000280.jpg,601
c004,000281.jpg,526
c004,000282.jpg,487
c004,000283.jpg,508
c004,000284.jpg,526
c004,000285.jpg,613
c004,000286.jpg,613
c004,000287.jpg,506
c004,000288.jpg,686
c004,000289.jpg,540
c004,000290.jpg,487
c004,000291.jpg,510
c004,000292.jpg,686
c004,000293.jpg,645
c004,000294.jpg,508
c004,000295.jpg,548
c004,000296.jpg,594
c004,000297.jpg,545
c004,000298.jpg,656
c004,000299.jpg,602
c004,000300.jpg,588
c004,000301.jpg,665
c004,000302.jpg,593
c004,000303.jpg,628
c004,000304.jpg,619
c004,000305.jpg,632
c004,000306.jpg,559
c004,000307.jpg,523
c004,000308.jpg,567
c004,000309.jpg,483
c004,000310.jpg,619
